R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.4

21:39:59.451 0 IE
21:39:59.674 1 IE
21:39:59.861 2 IE
21:40:00.051 3 IE
21:40:00.241 4 IE
21:40:00.430 5 IE
21:40:00.618 6 IE
21:40:00.807 7 IE
21:40:00.996 8 IE
21:40:01.185 9 IE
21:40:01.371 10 IE
21:40:01.560 11 IE
21:40:01.749 12 IE
21:40:01.938 13 IE
21:40:02.127 14 IE
21:40:02.318 15 IE
21:40:02.505 16 IE
21:40:02.695 17 IE
21:40:02.884 18 IE
21:40:03.073 19 IE
21:40:03.260 20 IE
21:40:03.449 21 IE
21:40:03.637 22 IE
21:40:03.827 23 IE
21:40:04.017 24 IE
21:40:04.206 25 IE
21:40:04.394 26 IE
21:40:04.583 27 IE
21:40:04.773 28 IE
21:40:04.961 29 IE
21:40:05.151 30 IE
21:40:05.341 31 IE
21:40:05.529 32 IE
21:40:05.719 33 IE
21:40:05.908 34 IE
21:40:06.098 35 IE
21:40:06.286 36 IE
21:40:06.475 37 IE
21:40:06.664 38 IE
21:40:06.852 39 IE
21:40:07.042 40 IE
21:40:07.229 41 IE
21:40:07.415 42 IE
21:40:07.605 43 IE
21:40:07.793 44 IE
21:40:07.982 45 IE
21:40:08.170 46 IE
21:40:08.360 47 IE
21:40:08.549 48 IE
21:40:08.739 49 IE
21:40:08.926 50 IE
21:40:09.115 51 IE
21:40:09.304 52 IE
21:40:09.494 53 IE
21:40:09.683 54 IE
21:40:09.873 55 IE
21:40:10.062 56 IE
21:40:10.252 57 IE
21:40:10.440 58 IE
21:40:10.630 59 IE
21:40:10.818 60 IE
21:40:11.007 61 IE
21:40:11.194 62 IE
21:40:11.382 63 IE
21:40:11.569 64 IE
21:40:11.755 65 IE
21:40:11.944 66 IE
21:40:12.133 67 IE
21:40:12.320 68 IE
21:40:12.510 69 IE
21:40:12.699 70 IE
21:40:12.889 71 IE
21:40:13.076 72 IE
21:40:13.266 73 IE
21:40:13.454 74 IE
21:40:13.644 75 IE
21:40:13.832 76 IE
21:40:14.019 77 IE
21:40:14.209 78 IE
21:40:14.397 79 IE
21:40:14.585 80 IE
21:40:14.773 81 IE
21:40:14.963 82 IE
21:40:15.152 83 IE
21:40:15.342 84 IE
21:40:15.530 85 IE
21:40:15.718 86 IE
21:40:15.907 87 IE
21:40:16.096 88 IE
21:40:16.284 89 IE
21:40:16.473 90 IE
21:40:16.662 91 IE
21:40:16.850 92 IE
21:40:17.040 93 IE
21:40:17.228 94 IE
21:40:17.417 95 IE
21:40:17.606 96 IE
21:40:17.795 97 IE
21:40:17.981 98 IE
21:40:18.171 99 IE
21:40:18.359 100 IE
21:40:18.547 101 IE
21:40:18.735 102 IE
21:40:18.924 103 IE
21:40:19.113 104 IE
21:40:19.301 105 IE
21:40:19.486 106 IE
21:40:19.676 107 IE
21:40:19.865 108 IE
21:40:20.055 109 IE
21:40:20.244 110 IE
21:40:20.433 111 IE
21:40:20.619 112 IE
21:40:20.808 113 IE
21:40:20.995 114 IE
21:40:21.186 115 IE
21:40:21.374 116 IE
21:40:21.562 117 IE
21:40:21.750 118 IE
21:40:21.940 119 IE
21:40:22.127 120 IE
21:40:22.316 121 IE
21:40:22.505 122 IE
21:40:22.692 123 IE
21:40:22.879 124 IE
21:40:23.066 125 IE
21:40:23.255 126 IE
21:40:23.445 127 IE
21:40:23.635 128 IE
21:40:23.824 129 IE
21:40:24.014 130 IE
21:40:24.203 131 IE
21:40:24.392 132 IE
21:40:24.581 133 IE
21:40:24.770 134 IE
21:40:24.959 135 IE
21:40:25.144 136 IE
21:40:25.334 137 IE
21:40:25.524 138 IE
21:40:25.713 139 IE
21:40:25.903 140 IE
21:40:26.091 141 IE
21:40:26.280 142 IE
21:40:26.468 143 IE
21:40:26.657 144 IE
21:40:26.843 145 IE
21:40:27.032 146 IE
21:40:27.220 147 IE
21:40:27.408 148 IE
21:40:27.598 149 IE
21:40:27.786 150 IE
21:40:27.974 151 IE
21:40:28.164 152 IE
21:40:28.352 153 IE
21:40:28.541 154 IE
21:40:28.730 155 IE
21:40:28.918 156 IE
21:40:29.104 157 IE
21:40:29.294 158 IE
21:40:29.483 159 IE
21:40:29.670 160 IE
21:40:29.856 161 IE
21:40:30.044 162 IE
21:40:30.232 163 IE
21:40:30.422 164 IE
21:40:30.609 165 IE
21:40:30.799 166 IE
21:40:30.987 167 IE
21:40:31.174 168 IE
21:40:31.363 169 IE
21:40:31.553 170 IE
21:40:31.741 171 IE
21:40:31.929 172 IE
21:40:32.118 173 IE
21:40:32.305 174 IE
21:40:32.494 175 IE
21:40:32.682 176 IE
21:40:32.869 177 IE
21:40:33.056 178 IE
21:40:33.246 179 IE
21:40:33.432 180 IE
21:40:33.620 181 IE
21:40:33.810 182 IE
21:40:33.998 183 IE
21:40:34.184 184 IE
21:40:34.372 185 IE
21:40:34.562 186 IE
21:40:34.750 187 IE
21:40:34.936 188 IE
21:40:35.123 189 IE
21:40:35.313 190 IE
21:40:35.499 191 IE
21:40:35.686 192 IE
21:40:35.873 193 IE
21:40:36.063 194 IE
21:40:36.251 195 IE
21:40:36.439 196 IE
21:40:36.629 197 IE
21:40:36.818 198 IE
21:40:37.007 199 IE
21:40:37.196 200 IE
21:40:37.385 201 IE
21:40:37.574 202 IE
21:40:37.762 203 IE
21:40:37.951 204 IE
21:40:38.138 205 IE
21:40:38.329 206 IE
21:40:38.517 207 IE
21:40:38.705 208 IE
21:40:38.895 209 IE
21:40:39.084 210 IE
21:40:39.273 211 IE
21:40:39.459 212 IE
21:40:39.648 213 IE
21:40:39.838 214 IE
21:40:40.028 215 IE
21:40:40.216 216 IE
21:40:40.405 217 IE
21:40:40.593 218 IE
21:40:40.783 219 IE
21:40:40.969 220 IE
21:40:41.158 221 IE
21:40:41.349 222 IE
21:40:41.537 223 IE
21:40:41.725 224 IE
21:40:41.913 225 IE
21:40:42.100 226 IE
21:40:42.285 227 IE
21:40:42.473 228 IE
21:40:42.661 229 IE
21:40:42.850 230 IE
21:40:43.036 231 IE
21:40:43.225 232 IE
21:40:43.414 233 IE
21:40:43.603 234 IE
21:40:43.790 235 IE
21:40:43.978 236 IE
21:40:44.167 237 IE
21:40:44.357 238 IE
21:40:44.547 239 IE
21:40:44.736 240 IE
21:40:44.924 241 IE
21:40:45.113 242 IE
21:40:45.299 243 IE
21:40:45.489 244 IE
21:40:45.677 245 IE
21:40:45.866 246 IE
21:40:46.054 247 IE
21:40:46.244 248 IE
21:40:46.432 249 IE
21:40:46.621 250 IE
21:40:46.809 251 IE
21:40:46.998 252 IE
21:40:47.187 253 IE
21:40:47.374 254 IE
21:40:47.560 255 IE
21:40:47.747 256 IE
21:40:47.936 257 IE
21:40:48.125 258 IE
21:40:48.314 259 IE
21:40:48.501 260 IE
21:40:48.688 261 IE
21:40:48.878 262 IE
21:40:49.067 263 IE
21:40:49.257 264 IE
21:40:49.445 265 IE
21:40:49.633 266 IE
21:40:49.822 267 IE
21:40:50.012 268 IE
21:40:50.202 269 IE
21:40:50.387 270 IE
21:40:50.574 271 IE
21:40:50.764 272 IE
21:40:50.953 273 IE
21:40:51.141 274 IE
21:40:51.328 275 IE
21:40:51.516 276 IE
21:40:51.706 277 IE
21:40:51.896 278 IE
21:40:52.085 279 IE
21:40:52.274 280 IE
21:40:52.461 281 IE
21:40:52.650 282 IE
21:40:52.840 283 IE
