R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.2

21:40:07.716 0 IE
21:40:07.923 1 IE
21:40:08.119 2 IE
21:40:08.314 3 IE
21:40:08.509 4 IE
21:40:08.703 5 IE
21:40:08.897 6 IE
21:40:09.093 7 IE
21:40:09.289 8 IE
21:40:09.486 9 IE
21:40:09.683 10 IE
21:40:09.878 11 IE
21:40:10.074 12 IE
21:40:10.271 13 IE
21:40:10.467 14 IE
21:40:10.665 15 IE
21:40:10.859 16 IE
21:40:11.055 17 IE
21:40:11.251 18 IE
21:40:11.448 19 IE
21:40:11.643 20 IE
21:40:11.838 21 IE
21:40:12.033 22 IE
21:40:12.226 23 IE
21:40:12.422 24 IE
21:40:12.617 25 IE
21:40:12.812 26 IE
21:40:13.008 27 IE
21:40:13.205 28 IE
21:40:13.401 29 IE
21:40:13.596 30 IE
21:40:13.793 31 IE
21:40:13.987 32 IE
21:40:14.182 33 IE
21:40:14.376 34 IE
21:40:14.571 35 IE
21:40:14.767 36 IE
21:40:14.964 37 IE
21:40:15.157 38 IE
21:40:15.353 39 IE
21:40:15.547 40 IE
21:40:15.743 41 IE
21:40:15.939 42 IE
21:40:16.134 43 IE
21:40:16.330 44 IE
21:40:16.526 45 IE
21:40:16.721 46 IE
21:40:16.918 47 IE
21:40:17.115 48 IE
21:40:17.311 49 IE
21:40:17.506 50 IE
21:40:17.702 51 IE
21:40:17.898 52 IE
21:40:18.092 53 IE
21:40:18.288 54 IE
21:40:18.484 55 IE
21:40:18.680 56 IE
21:40:18.876 57 IE
21:40:19.072 58 IE
21:40:19.267 59 IE
21:40:19.463 60 IE
21:40:19.659 61 IE
21:40:19.854 62 IE
21:40:20.051 63 IE
21:40:20.246 64 IE
21:40:20.443 65 IE
21:40:20.641 66 IE
21:40:20.834 67 IE
21:40:21.030 68 IE
21:40:21.226 69 IE
21:40:21.423 70 IE
21:40:21.620 71 IE
21:40:21.814 72 IE
21:40:22.011 73 IE
21:40:22.206 74 IE
21:40:22.402 75 IE
21:40:22.597 76 IE
21:40:22.794 77 IE
21:40:22.991 78 IE
21:40:23.186 79 IE
21:40:23.382 80 IE
21:40:23.578 81 IE
21:40:23.775 82 IE
21:40:23.969 83 IE
21:40:24.166 84 IE
21:40:24.360 85 IE
