R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.4

21:31:18.866 0 IE
21:31:19.058 1 IE
21:31:19.247 2 IE
21:31:19.436 3 IE
21:31:19.626 4 IE
21:31:19.818 5 IE
21:31:20.007 6 IE
21:31:20.197 7 IE
21:31:20.385 8 IE
21:31:20.574 9 IE
21:31:20.762 10 IE
21:31:20.951 11 IE
21:31:21.136 12 IE
21:31:21.325 13 IE
21:31:21.513 14 IE
21:31:21.702 15 IE
21:31:21.890 16 IE
21:31:22.078 17 IE
21:31:22.266 18 IE
21:31:22.454 19 IE
21:31:22.641 20 IE
21:31:22.828 21 IE
21:31:23.017 22 IE
21:31:23.206 23 IE
21:31:23.395 24 IE
21:31:23.584 25 IE
21:31:23.774 26 IE
21:31:23.959 27 IE
21:31:24.145 28 IE
21:31:24.333 29 IE
21:31:24.522 30 IE
21:31:24.712 31 IE
21:31:24.901 32 IE
21:31:25.091 33 IE
21:31:25.281 34 IE
21:31:25.467 35 IE
21:31:25.656 36 IE
21:31:25.845 37 IE
21:31:26.034 38 IE
21:31:26.224 39 IE
21:31:26.413 40 IE
21:31:26.602 41 IE
21:31:26.792 42 IE
21:31:26.981 43 IE
21:31:27.170 44 IE
21:31:27.358 45 IE
21:31:27.544 46 IE
21:31:27.732 47 IE
21:31:27.920 48 IE
21:31:28.108 49 IE
21:31:28.296 50 IE
21:31:28.485 51 IE
21:31:28.675 52 IE
21:31:28.865 53 IE
21:31:29.052 54 IE
21:31:29.242 55 IE
21:31:29.432 56 IE
21:31:29.622 57 IE
21:31:29.812 58 IE
21:31:30.002 59 IE
21:31:30.188 60 IE
21:31:30.377 61 IE
21:31:30.566 62 IE
21:31:30.756 63 IE
21:31:30.946 64 IE
21:31:31.135 65 IE
21:31:31.323 66 IE
21:31:31.512 67 IE
21:31:31.702 68 IE
21:31:31.892 69 IE
21:31:32.081 70 IE
21:31:32.269 71 IE
21:31:32.458 72 IE
21:31:32.648 73 IE
21:31:32.838 74 IE
21:31:33.027 75 IE
21:31:33.217 76 IE
21:31:33.406 77 IE
21:31:33.595 78 IE
21:31:33.784 79 IE
21:31:33.973 80 IE
21:31:34.162 81 IE
21:31:34.349 82 IE
21:31:34.538 83 IE
21:31:34.725 84 IE
21:31:34.914 85 IE
21:31:35.102 86 IE
21:31:35.290 87 IE
21:31:35.479 88 IE
21:31:35.667 89 IE
21:31:35.856 90 IE
21:31:36.046 91 IE
21:31:36.234 92 IE
21:31:36.423 93 IE
21:31:36.612 94 IE
21:31:36.801 95 IE
21:31:36.990 96 IE
21:31:37.179 97 IE
21:31:37.366 98 IE
21:31:37.554 99 IE
21:31:37.742 100 IE
21:31:37.930 101 IE
21:31:38.118 102 IE
21:31:38.306 103 IE
21:31:38.492 104 IE
21:31:38.681 105 IE
21:31:38.870 106 IE
21:31:39.058 107 IE
21:31:39.247 108 IE
21:31:39.435 109 IE
21:31:39.624 110 IE
21:31:39.813 111 IE
21:31:40.003 112 IE
21:31:40.192 113 IE
21:31:40.381 114 IE
21:31:40.567 115 IE
21:31:40.757 116 IE
21:31:40.944 117 IE
21:31:41.133 118 IE
21:31:41.321 119 IE
21:31:41.511 120 IE
21:31:41.701 121 IE
21:31:41.888 122 IE
21:31:42.076 123 IE
21:31:42.266 124 IE
21:31:42.453 125 IE
21:31:42.643 126 IE
21:31:42.833 127 IE
21:31:43.020 128 SB
21:31:43.209 129 IE
21:31:43.398 130 IE
21:31:43.588 131 IE
21:31:43.777 132 IE
21:31:43.965 133 IE
21:31:44.153 134 IE
21:31:44.341 135 IE
21:31:44.530 136 IE
21:31:44.719 137 IE
21:31:44.906 138 IE
21:31:45.097 139 IE
21:31:45.286 140 IE
21:31:45.474 141 IE
21:31:45.662 142 IE
21:31:45.849 143 IE
21:31:46.038 144 IE
21:31:46.227 145 IE
21:31:46.415 146 IE
21:31:46.601 147 IE
21:31:46.790 148 IE
21:31:46.979 149 IE
21:31:47.168 150 IE
21:31:47.357 151 IE
21:31:47.544 152 IE
21:31:47.733 153 IE
21:31:47.923 154 IE
21:31:48.112 155 IE
21:31:48.300 156 IE
21:31:48.488 157 IE
21:31:48.678 158 IE
21:31:48.866 159 IE
21:31:49.055 160 IE
21:31:49.243 161 IE
21:31:49.431 162 IE
21:31:49.620 163 IE
21:31:49.809 164 IE
21:31:49.998 165 IE
21:31:50.187 166 IE
21:31:50.372 167 IE
21:31:50.558 168 IE
21:31:50.748 169 IE
21:31:50.937 170 IE
21:31:51.126 171 IE
21:31:51.314 172 IE
21:31:51.502 173 IE
21:31:51.691 174 IE
21:31:51.880 175 IE
21:31:52.068 176 IE
21:31:52.258 177 IE
21:31:52.448 178 IE
21:31:52.638 179 IE
21:31:52.826 180 IE
21:31:53.015 181 IE
21:31:53.203 182 IE
21:31:53.391 183 IE
21:31:53.579 184 IE
21:31:53.767 185 IE
21:31:53.957 186 IE
21:31:54.146 187 IE
21:31:54.334 188 IE
21:31:54.523 189 IE
21:31:54.712 190 IE
21:31:54.899 191 IE
21:31:55.088 192 IE
21:31:55.277 193 IE
21:31:55.464 194 IE
21:31:55.651 195 IE
21:31:55.840 196 IE
21:31:56.030 197 IE
21:31:56.219 198 IE
21:31:56.408 199 IE
21:31:56.595 200 IE
21:31:56.782 201 IE
21:31:56.971 202 IE
21:31:57.157 203 IE
21:31:57.346 204 IE
21:31:57.535 205 IE
21:31:57.726 206 IE
21:31:57.915 207 IE
21:31:58.104 208 IE
21:31:58.294 209 IE
21:31:58.483 210 IE
21:31:58.669 211 IE
21:31:58.859 212 IE
21:31:59.049 213 IE
21:31:59.237 214 IE
21:31:59.426 215 IE
21:31:59.614 216 IE
21:31:59.801 217 IE
21:31:59.989 218 IE
21:32:00.178 219 IE
21:32:00.366 220 IE
21:32:00.555 221 IE
21:32:00.743 222 IE
21:32:00.932 223 IE
21:32:01.121 224 IE
21:32:01.311 225 IE
21:32:01.500 226 IE
21:32:01.688 227 IE
21:32:01.879 228 IE
21:32:02.067 229 IE
21:32:02.257 230 IE
21:32:02.444 231 IE
21:32:02.633 232 IE
21:32:02.819 233 IE
21:32:03.008 234 IE
21:32:03.195 235 IE
21:32:03.384 236 IE
21:32:03.575 237 IE
21:32:03.764 238 IE
21:32:03.953 239 IE
21:32:04.141 240 IE
21:32:04.328 241 IE
21:32:04.517 242 IE
21:32:04.707 243 IE
21:32:04.896 244 IE
21:32:05.082 245 IE
21:32:05.271 246 IE
21:32:05.460 247 IE
21:32:05.650 248 IE
21:32:05.837 249 IE
21:32:06.024 250 IE
21:32:06.212 251 IE
21:32:06.401 252 IE
21:32:06.590 253 IE
21:32:06.779 254 IE
21:32:06.966 255 IE
21:32:07.156 256 IE
21:32:07.346 257 IE
21:32:07.535 258 IE
21:32:07.722 259 IE
21:32:07.912 260 IE
21:32:08.102 261 IE
21:32:08.291 262 IE
21:32:08.480 263 IE
21:32:08.670 264 IE
21:32:08.859 265 IE
21:32:09.048 266 IE
21:32:09.237 267 IE
21:32:09.426 268 IE
21:32:09.612 269 IE
21:32:09.801 270 IE
21:32:09.990 271 IE
21:32:10.179 272 IE
21:32:10.366 273 IE
21:32:10.552 274 IE
21:32:10.740 275 IE
21:32:10.927 276 IE
21:32:11.116 277 IE
21:32:11.305 278 IE
21:32:11.493 279 IE
21:32:11.682 280 IE
21:32:11.872 281 IE
21:32:12.062 282 IE
21:32:12.250 283 IE
