R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.6

21:31:20.327 0 IE
21:31:20.511 1 IE
21:31:20.693 2 IE
21:31:20.875 3 IE
21:31:21.056 4 IE
21:31:21.236 5 IE
21:31:21.418 6 IE
21:31:21.600 7 IE
21:31:21.780 8 IE
21:31:21.959 9 IE
21:31:22.139 10 IE
21:31:22.320 11 IE
21:31:22.501 12 IE
21:31:22.682 13 IE
21:31:22.861 14 IE
21:31:23.044 15 IE
21:31:23.225 16 IE
21:31:23.406 17 IE
21:31:23.586 18 IE
21:31:23.769 19 IE
21:31:23.949 20 IE
21:31:24.129 21 IE
21:31:24.310 22 IE
21:31:24.492 23 IE
21:31:24.673 24 IE
21:31:24.853 25 IE
21:31:25.033 26 IE
21:31:25.216 27 IE
21:31:25.395 28 IE
21:31:25.578 29 IE
21:31:25.761 30 IE
21:31:25.944 31 IE
21:31:26.125 32 IE
21:31:26.308 33 IE
21:31:26.489 34 IE
21:31:26.669 35 IE
21:31:26.848 36 IE
21:31:27.031 37 IE
21:31:27.213 38 IE
21:31:27.393 39 IE
21:31:27.577 40 IE
21:31:27.758 41 IE
21:31:27.938 42 IE
21:31:28.119 43 IE
21:31:28.300 44 IE
21:31:28.482 45 IE
21:31:28.665 46 IE
21:31:28.846 47 IE
21:31:29.029 48 IE
21:31:29.210 49 IE
21:31:29.392 50 IE
21:31:29.573 51 IE
21:31:29.756 52 IE
21:31:29.937 53 IE
21:31:30.119 54 IE
21:31:30.299 55 IE
21:31:30.480 56 IE
21:31:30.663 57 IE
21:31:30.844 58 IE
21:31:31.027 59 IE
21:31:31.209 60 IE
21:31:31.391 61 IE
21:31:31.574 62 IE
21:31:31.757 63 IE
21:31:31.938 64 IE
21:31:32.119 65 IE
21:31:32.301 66 IE
21:31:32.484 67 IE
21:31:32.665 68 IE
21:31:32.847 69 IE
21:31:33.030 70 IE
21:31:33.213 71 IE
21:31:33.395 72 IE
21:31:33.578 73 IE
21:31:33.761 74 IE
21:31:33.943 75 IE
21:31:34.123 76 IE
21:31:34.302 77 IE
21:31:34.481 78 IE
21:31:34.660 79 IE
21:31:34.841 80 IE
21:31:35.022 81 IE
21:31:35.205 82 IE
21:31:35.385 83 IE
21:31:35.567 84 IE
21:31:35.749 85 IE
21:31:35.931 86 IE
21:31:36.112 87 IE
21:31:36.294 88 IE
21:31:36.474 89 IE
21:31:36.656 90 IE
21:31:36.839 91 IE
21:31:37.020 92 IE
21:31:37.202 93 IE
21:31:37.383 94 IE
21:31:37.565 95 IE
21:31:37.746 96 IE
21:31:37.929 97 IE
21:31:38.109 98 IE
21:31:38.291 99 IE
21:31:38.471 100 IE
21:31:38.654 101 IE
21:31:38.835 102 IE
21:31:39.017 103 IE
21:31:39.199 104 IE
21:31:39.380 105 IE
21:31:39.563 106 IE
21:31:39.744 107 IE
21:31:39.925 108 IE
21:31:40.104 109 IE
21:31:40.285 110 IE
21:31:40.466 111 IE
21:31:40.647 112 IE
21:31:40.830 113 IE
21:31:41.013 114 IE
21:31:41.194 115 IE
21:31:41.377 116 IE
21:31:41.560 117 IE
21:31:41.739 118 IE
21:31:41.920 119 IE
21:31:42.100 120 IE
21:31:42.281 121 IE
21:31:42.464 122 IE
21:31:42.646 123 IE
21:31:42.826 124 IE
21:31:43.009 125 IE
21:31:43.191 126 IE
21:31:43.372 127 IE
21:31:43.553 128 IE
21:31:43.732 129 IE
21:31:43.916 130 IE
21:31:44.098 131 IE
21:31:44.280 132 IE
21:31:44.462 133 IE
21:31:44.643 134 IE
21:31:44.824 135 IE
21:31:45.006 136 IE
21:31:45.186 137 IE
21:31:45.368 138 IE
21:31:45.547 139 IE
21:31:45.730 140 IE
21:31:45.913 141 IE
21:31:46.094 142 IE
21:31:46.275 143 IE
21:31:46.456 144 IE
21:31:46.640 145 IE
21:31:46.821 146 IE
21:31:47.002 147 IE
21:31:47.184 148 IE
21:31:47.365 149 IE
21:31:47.547 150 IE
21:31:47.728 151 IE
21:31:47.909 152 IE
21:31:48.089 153 IE
21:31:48.270 154 IE
21:31:48.451 155 IE
21:31:48.632 156 IE
21:31:48.812 157 IE
21:31:48.994 158 IE
21:31:49.176 159 IE
21:31:49.357 160 IE
21:31:49.537 161 IE
21:31:49.717 162 IE
21:31:49.898 163 IE
21:31:50.079 164 IE
21:31:50.260 165 IE
21:31:50.441 166 IE
