R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5

21:17:23.172 0 IE
21:17:23.388 1 S0
21:17:23.589 2 IE
21:17:23.790 3 IE
21:17:23.994 4 S0
21:17:24.195 5 IE
21:17:24.399 6 IE
21:17:24.603 7 S1
21:17:24.804 8 IE
21:17:25.005 9 IE
21:17:25.207 10 IE
21:17:25.410 11 IE
21:17:25.614 12 IE
21:17:25.818 13 IE
21:17:26.023 14 IE
21:17:26.224 15 S0
21:17:26.429 16 IE
21:17:26.630 17 IE
21:17:26.834 18 IE
21:17:27.040 19 IE
21:17:27.244 20 SB
21:17:27.448 21 IE
21:17:27.652 22 S1
21:17:27.855 23 IE
21:17:28.058 24 IE
21:17:28.263 25 IE
21:17:28.464 26 IE
21:17:28.668 27 IE
21:17:28.873 28 IE
21:17:29.078 29 IE
21:17:29.279 30 R 0
21:17:29.481 31 S0
21:17:29.684 32 IE
21:17:29.884 33 R 0
21:17:30.089 34 S1
21:17:30.291 35 SB
21:17:30.496 36 IE
21:17:30.700 37 IE
21:17:30.901 38 IE
21:17:31.103 39 IE
21:17:31.307 40 R 0
21:17:31.511 41 S1
21:17:31.714 42 S0
21:17:31.919 43 IE
21:17:32.124 44 IE
21:17:32.328 45 IE
21:17:32.533 46 IE
21:17:32.737 47 IE
21:17:32.940 48 R 0
21:17:33.143 49 IE
21:17:33.347 50 R 0
21:17:33.552 51 IE
21:17:33.756 52 IE
21:17:33.957 53 IE
21:17:34.160 54 IE
21:17:34.365 55 IE
21:17:34.565 56 IE
21:17:34.769 57 S0
21:17:34.971 58 S0
21:17:35.176 59 IE
21:17:35.379 60 R 0
21:17:35.580 61 IE
21:17:35.784 62 IE
21:17:35.988 63 IE
21:17:36.191 64 IE
21:17:36.395 65 IE
21:17:36.599 66 IE
21:17:36.799 67 IE
21:17:37.004 68 IE
21:17:37.206 69 IE
21:17:37.410 70 IE
21:17:37.614 71 IE
21:17:37.819 72 R 1
21:17:38.024 73 R 0
21:17:38.228 74 IE
21:17:38.432 75 IE
21:17:38.636 76 IE
21:17:38.839 77 IE
21:17:39.043 78 S1
21:17:39.249 79 IE
21:17:39.454 80 IE
21:17:39.659 81 IE
21:17:39.860 82 IE
21:17:40.064 83 IE
21:17:40.266 84 S1
21:17:40.471 85 IE
21:17:40.676 86 IE
21:17:40.877 87 IE
21:17:41.080 88 IE
21:17:41.285 89 S1
21:17:41.488 90 IE
21:17:41.689 91 IE
21:17:41.893 92 IE
21:17:42.099 93 S0
21:17:42.303 94 IE
21:17:42.508 95 R 0
21:17:42.713 96 IE
21:17:42.917 97 SB
21:17:43.119 98 IE
21:17:43.324 99 R 0
21:17:43.529 100 IE
21:17:43.732 101 IE
21:17:43.934 102 S0
21:17:44.138 103 S0
21:17:44.341 104 S1
21:17:44.547 105 S0
21:17:44.751 106 IE
21:17:44.953 107 IE
21:17:45.154 108 S0
21:17:45.355 109 IE
21:17:45.557 110 IE
21:17:45.761 111 IE
21:17:45.966 112 IE
21:17:46.169 113 IE
21:17:46.370 114 R 0
21:17:46.573 115 IE
21:17:46.779 116 S1
21:17:46.984 117 S0
21:17:47.188 118 IE
21:17:47.389 119 IE
21:17:47.593 120 S1
21:17:47.799 121 IE
21:17:48.003 122 SB
21:17:48.204 123 IE
21:17:48.407 124 S0
21:17:48.608 125 IE
21:17:48.809 126 IE
21:17:49.014 127 S1
21:17:49.216 128 S0
21:17:49.418 129 IE
21:17:49.623 130 IE
21:17:49.824 131 IE
21:17:50.026 132 S1
21:17:50.227 133 IE
21:17:50.428 134 SB
21:17:50.630 135 IE
21:17:50.831 136 IE
21:17:51.033 137 IE
21:17:51.234 138 S1
21:17:51.435 139 S0
21:17:51.639 140 IE
21:17:51.845 141 IE
21:17:52.046 142 R 0
21:17:52.249 143 IE
21:17:52.453 144 IE
21:17:52.656 145 IE
21:17:52.860 146 IE
21:17:53.064 147 IE
21:17:53.267 148 SB
21:17:53.471 149 SB
21:17:53.680 150 SB
21:17:53.883 151 SB
21:17:54.086 152 R 0
21:17:54.289 153 S0
21:17:54.494 154 IE
21:17:54.698 155 IE
21:17:54.901 156 IE
21:17:55.104 157 S1
21:17:55.309 158 IE
21:17:55.512 159 IE
21:17:55.716 160 IE
21:17:55.920 161 IE
21:17:56.123 162 S0
21:17:56.328 163 S0
21:17:56.532 164 R 0
21:17:56.736 165 IE
21:17:56.939 166 IE
21:17:57.143 167 IE
21:17:57.348 168 IE
21:17:57.553 169 S1
21:17:57.758 170 S1
21:17:57.962 171 IE
21:17:58.166 172 IE
21:17:58.371 173 IE
21:17:58.576 174 IE
21:17:58.782 175 SB
21:17:58.982 176 R 0
21:17:59.183 177 S1
21:17:59.387 178 S1
21:17:59.590 179 IE
21:17:59.795 180 S1
21:17:59.999 181 IE
21:18:00.201 182 IE
21:18:00.406 183 S0
21:18:00.611 184 SB
21:18:00.814 185 S1
21:18:01.015 186 R 0
21:18:01.219 187 IE
21:18:01.421 188 IE
21:18:01.622 189 IE
