R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 6

22:04:30.315 0 IE
22:04:30.491 1 IE
22:04:30.659 2 IE
22:04:30.830 3 SB
22:04:31.002 4 IE
22:04:31.172 5 R 0
22:04:31.343 6 S1
22:04:31.514 7 IE
22:04:31.682 8 IE
22:04:31.852 9 IE
22:04:32.022 10 S2
22:04:32.192 11 IE
22:04:32.360 12 IE
22:04:32.530 13 S2
22:04:32.700 14 IE
22:04:32.870 15 IE
22:04:33.040 16 S2
22:04:33.208 17 IE
22:04:33.378 18 IE
22:04:33.547 19 IE
22:04:33.715 20 IE
22:04:33.884 21 S2
22:04:34.053 22 IE
22:04:34.223 23 S1
22:04:34.392 24 SB
22:04:34.562 25 IE
22:04:34.731 26 IE
22:04:34.901 27 IE
22:04:35.069 28 IE
22:04:35.238 29 IE
22:04:35.409 30 IE
22:04:35.580 31 S1
22:04:35.750 32 IE
22:04:35.920 33 IE
22:04:36.087 34 R 0
22:04:36.257 35 S2
22:04:36.427 36 IE
22:04:36.598 37 IE
22:04:36.769 38 IE
22:04:36.940 39 IE
22:04:37.108 40 IE
22:04:37.276 41 IE
22:04:37.443 42 SB
22:04:37.614 43 SB
22:04:37.782 44 IE
22:04:37.953 45 IE
22:04:38.122 46 R 0
22:04:38.289 47 S1
22:04:38.459 48 IE
22:04:38.631 49 IE
22:04:38.800 50 IE
22:04:38.968 51 IE
22:04:39.138 52 IE
22:04:39.308 53 IE
22:04:39.477 54 IE
22:04:39.646 55 IE
22:04:39.816 56 S1
22:04:39.984 57 IE
22:04:40.152 58 IE
22:04:40.322 59 IE
22:04:40.492 60 S2
22:04:40.662 61 IE
22:04:40.832 62 IE
22:04:41.002 63 S2
22:04:41.172 64 R 0
22:04:41.342 65 S1
22:04:41.512 66 IE
22:04:41.683 67 IE
22:04:41.852 68 S1
22:04:42.021 69 IE
22:04:42.191 70 IE
22:04:42.362 71 IE
22:04:42.533 72 S2
22:04:42.704 73 SB
22:04:42.875 74 IE
22:04:43.043 75 IE
22:04:43.212 76 SB
22:04:43.382 77 S2
22:04:43.552 78 IE
22:04:43.723 79 IE
22:04:43.894 80 R 0
22:04:44.064 81 IE
22:04:44.234 82 S2
22:04:44.404 83 IE
22:04:44.575 84 R 0
22:04:44.745 85 IE
22:04:44.913 86 R 0
22:04:45.084 87 IE
22:04:45.255 88 IE
22:04:45.424 89 IE
22:04:45.592 90 R 0
22:04:45.763 91 IE
22:04:45.933 92 IE
22:04:46.104 93 SB
22:04:46.273 94 S1
22:04:46.440 95 IE
22:04:46.610 96 IE
22:04:46.778 97 S1
22:04:46.949 98 IE
22:04:47.119 99 IE
22:04:47.290 100 IE
22:04:47.460 101 IE
22:04:47.630 102 SB
22:04:47.801 103 S1
22:04:47.971 104 IE
22:04:48.142 105 IE
22:04:48.310 106 IE
22:04:48.477 107 IE
22:04:48.647 108 IE
22:04:48.814 109 IE
22:04:48.982 110 IE
22:04:49.152 111 IE
22:04:49.322 112 SB
22:04:49.493 113 IE
22:04:49.664 114 S1
22:04:49.833 115 SB
22:04:50.003 116 IE
22:04:50.174 117 IE
22:04:50.343 118 IE
22:04:50.512 119 IE
22:04:50.681 120 R 0
22:04:50.849 121 IE
22:04:51.018 122 IE
22:04:51.189 123 S1
22:04:51.358 124 IE
22:04:51.528 125 S1
22:04:51.698 126 IE
22:04:51.869 127 IE
22:04:52.039 128 SB
22:04:52.209 129 IE
22:04:52.380 130 IE
22:04:52.550 131 S1
22:04:52.719 132 IE
22:04:52.888 133 SB
22:04:53.057 134 IE
22:04:53.227 135 IE
22:04:53.396 136 IE
22:04:53.564 137 IE
22:04:53.733 138 S2
22:04:53.902 139 IE
22:04:54.071 140 IE
22:04:54.242 141 R 0
22:04:54.412 142 IE
22:04:54.583 143 IE
22:04:54.751 144 IE
22:04:54.921 145 S1
22:04:55.090 146 IE
22:04:55.259 147 IE
22:04:55.429 148 SB
22:04:55.599 149 SB
22:04:55.768 150 IE
22:04:55.936 151 IE
22:04:56.105 152 SB
22:04:56.276 153 S1
22:04:56.444 154 S2
22:04:56.615 155 IE
22:04:56.782 156 IE
22:04:56.952 157 IE
22:04:57.122 158 IE
22:04:57.291 159 S1
22:04:57.462 160 IE
22:04:57.631 161 S2
22:04:57.802 162 IE
22:04:57.971 163 IE
22:04:58.142 164 IE
22:04:58.311 165 SB
22:04:58.482 166 IE
22:04:58.649 167 IE
22:04:58.820 168 SB
22:04:58.991 169 IE
22:04:59.160 170 IE
22:04:59.331 171 IE
22:04:59.501 172 IE
22:04:59.672 173 IE
22:04:59.842 174 IE
22:05:00.014 175 R 0
22:05:00.183 176 IE
22:05:00.352 177 IE
22:05:00.523 178 IE
22:05:00.691 179 IE
22:05:00.860 180 IE
22:05:01.028 181 IE
22:05:01.197 182 IE
22:05:01.365 183 S2
22:05:01.536 184 IE
22:05:01.706 185 IE
22:05:01.872 186 IE
22:05:02.043 187 IE
22:05:02.214 188 SB
22:05:02.384 189 S1
22:05:02.555 190 IE
22:05:02.725 191 S1
22:05:02.896 192 S2
22:05:03.065 193 S1
22:05:03.234 194 IE
22:05:03.404 195 S2
22:05:03.574 196 IE
22:05:03.742 197 IE
22:05:03.913 198 IE
22:05:04.080 199 IE
22:05:04.248 200 IE
22:05:04.416 201 S1
22:05:04.586 202 IE
22:05:04.756 203 IE
22:05:04.926 204 SB
22:05:05.096 205 SB
22:05:05.266 206 IE
22:05:05.437 207 IE
22:05:05.607 208 S1
22:05:05.778 209 IE
22:05:05.947 210 IE
22:05:06.114 211 IE
22:05:06.283 212 IE
22:05:06.454 213 IE
22:05:06.623 214 S2
22:05:06.793 215 IE
22:05:06.961 216 IE
22:05:07.131 217 S2
22:05:07.300 218 IE
22:05:07.467 219 IE
22:05:07.636 220 IE
22:05:07.806 221 SB
22:05:07.977 222 IE
22:05:08.148 223 IE
22:05:08.317 224 IE
22:05:08.487 225 IE
22:05:08.655 226 SB
22:05:08.827 227 S1
22:05:08.995 228 IE
22:05:09.162 229 S2
22:05:09.331 230 IE
22:05:09.499 231 S2
22:05:09.668 232 IE
22:05:09.839 233 IE
22:05:10.007 234 IE
22:05:10.176 235 IE
22:05:10.347 236 S2
22:05:10.514 237 R 0
22:05:10.685 238 SB
22:05:10.856 239 S1
22:05:11.028 240 S1
22:05:11.198 241 IE
22:05:11.367 242 SB
22:05:11.537 243 IE
22:05:11.709 244 SB
22:05:11.880 245 S1
22:05:12.049 246 IE
22:05:12.219 247 IE
22:05:12.386 248 IE
22:05:12.556 249 IE
22:05:12.726 250 IE
22:05:12.896 251 S1
22:05:13.066 252 SB
22:05:13.235 253 IE
22:05:13.405 254 IE
22:05:13.575 255 IE
22:05:13.743 256 SB
22:05:13.912 257 IE
22:05:14.082 258 IE
22:05:14.250 259 IE
22:05:14.420 260 IE
22:05:14.591 261 IE
22:05:14.762 262 IE
22:05:14.931 263 IE
22:05:15.101 264 IE
22:05:15.270 265 SB
22:05:15.440 266 IE
22:05:15.607 267 IE
22:05:15.776 268 IE
22:05:15.947 269 S1
22:05:16.116 270 IE
22:05:16.286 271 S1
22:05:16.453 272 S2
22:05:16.623 273 IE
22:05:16.794 274 IE
22:05:16.965 275 IE
22:05:17.135 276 IE
22:05:17.305 277 IE
22:05:17.475 278 S2
22:05:17.646 279 IE
22:05:17.815 280 IE
22:05:17.982 281 IE
22:05:18.150 282 IE
22:05:18.320 283 IE
22:05:18.490 284 R 0
22:05:18.658 285 IE
22:05:18.828 286 IE
22:05:18.999 287 SB
22:05:19.167 288 IE
22:05:19.334 289 IE
22:05:19.504 290 IE
22:05:19.673 291 S1
22:05:19.844 292 S2
22:05:20.013 293 IE
22:05:20.183 294 IE
22:05:20.350 295 IE
22:05:20.519 296 IE
22:05:20.689 297 IE
22:05:20.859 298 SB
22:05:21.030 299 S1
22:05:21.199 300 IE
22:05:21.367 301 IE
22:05:21.536 302 IE
22:05:21.704 303 IE
22:05:21.873 304 IE
22:05:22.042 305 S2
22:05:22.212 306 IE
22:05:22.382 307 IE
22:05:22.550 308 S1
22:05:22.719 309 SB
22:05:22.890 310 IE
22:05:23.059 311 IE
22:05:23.227 312 S1
22:05:23.396 313 SB
22:05:23.566 314 S1
22:05:23.736 315 IE
22:05:23.906 316 IE
22:05:24.076 317 IE
22:05:24.244 318 IE
22:05:24.415 319 IE
22:05:24.585 320 IE
22:05:24.756 321 IE
22:05:24.925 322 IE
22:05:25.093 323 IE
22:05:25.263 324 R 0
22:05:25.431 325 IE
22:05:25.602 326 IE
22:05:25.772 327 IE
22:05:25.940 328 IE
22:05:26.110 329 IE
22:05:26.280 330 IE
22:05:26.449 331 S2
22:05:26.618 332 IE
22:05:26.787 333 IE
22:05:26.955 334 IE
22:05:27.126 335 IE
22:05:27.295 336 S2
22:05:27.463 337 S1
22:05:27.633 338 IE
22:05:27.801 339 IE
22:05:27.969 340 IE
22:05:28.138 341 IE
22:05:28.308 342 S1
22:05:28.479 343 S1
22:05:28.647 344 SB
22:05:28.816 345 SB
22:05:28.986 346 S1
22:05:29.155 347 IE
22:05:29.323 348 S2
22:05:29.491 349 IE
22:05:29.659 350 S1
22:05:29.827 351 SB
22:05:29.995 352 SB
22:05:30.165 353 SB
22:05:30.335 354 S2
22:05:30.506 355 S2
22:05:30.677 356 IE
22:05:30.847 357 IE
22:05:31.018 358 S1
22:05:31.185 359 S2
