R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.4

21:31:17.075 0 IE
21:31:17.269 1 IE
21:31:17.458 2 IE
21:31:17.648 3 IE
21:31:17.838 4 IE
21:31:18.028 5 IE
21:31:18.217 6 IE
21:31:18.404 7 IE
21:31:18.591 8 S1
21:31:18.780 9 IE
21:31:18.966 10 IE
21:31:19.156 11 IE
21:31:19.342 12 IE
21:31:19.531 13 IE
21:31:19.722 14 IE
21:31:19.909 15 IE
21:31:20.097 16 IE
21:31:20.285 17 IE
21:31:20.472 18 IE
21:31:20.662 19 IE
21:31:20.851 20 IE
21:31:21.040 21 IE
21:31:21.228 22 IE
21:31:21.418 23 IE
21:31:21.605 24 IE
21:31:21.794 25 IE
21:31:21.981 26 IE
21:31:22.171 27 IE
21:31:22.360 28 IE
21:31:22.548 29 IE
21:31:22.736 30 IE
21:31:22.926 31 IE
21:31:23.112 32 IE
21:31:23.302 33 IE
21:31:23.489 34 IE
21:31:23.679 35 IE
21:31:23.867 36 IE
21:31:24.056 37 IE
21:31:24.242 38 IE
21:31:24.432 39 IE
21:31:24.622 40 IE
21:31:24.811 41 IE
21:31:25.001 42 IE
21:31:25.189 43 SB
21:31:25.378 44 IE
21:31:25.567 45 IE
21:31:25.756 46 IE
21:31:25.945 47 IE
21:31:26.134 48 IE
21:31:26.324 49 IE
21:31:26.513 50 IE
21:31:26.703 51 IE
21:31:26.890 52 IE
21:31:27.080 53 IE
21:31:27.268 54 IE
21:31:27.458 55 IE
21:31:27.648 56 IE
21:31:27.834 57 IE
21:31:28.023 58 IE
21:31:28.209 59 IE
21:31:28.397 60 IE
21:31:28.585 61 IE
21:31:28.774 62 IE
21:31:28.963 63 IE
21:31:29.153 64 IE
21:31:29.342 65 IE
21:31:29.532 66 IE
21:31:29.721 67 IE
21:31:29.910 68 IE
21:31:30.098 69 IE
21:31:30.288 70 IE
21:31:30.476 71 IE
21:31:30.666 72 IE
21:31:30.856 73 IE
21:31:31.045 74 IE
21:31:31.231 75 IE
21:31:31.421 76 IE
21:31:31.609 77 IE
21:31:31.800 78 IE
21:31:31.987 79 IE
21:31:32.176 80 IE
21:31:32.366 81 IE
21:31:32.555 82 IE
21:31:32.744 83 IE
21:31:32.932 84 IE
21:31:33.122 85 IE
21:31:33.312 86 IE
21:31:33.499 87 IE
21:31:33.688 88 IE
21:31:33.873 89 IE
21:31:34.062 90 IE
21:31:34.249 91 IE
21:31:34.439 92 IE
21:31:34.628 93 IE
21:31:34.816 94 IE
21:31:35.004 95 IE
21:31:35.192 96 S0
21:31:35.379 97 IE
21:31:35.567 98 IE
21:31:35.757 99 IE
21:31:35.946 100 IE
21:31:36.134 101 IE
21:31:36.324 102 IE
21:31:36.513 103 IE
21:31:36.703 104 IE
21:31:36.890 105 IE
21:31:37.079 106 IE
21:31:37.267 107 IE
21:31:37.454 108 IE
21:31:37.641 109 IE
21:31:37.830 110 IE
21:31:38.017 111 IE
21:31:38.206 112 IE
21:31:38.394 113 IE
21:31:38.583 114 IE
21:31:38.772 115 IE
21:31:38.960 116 IE
21:31:39.147 117 IE
21:31:39.336 118 IE
21:31:39.525 119 IE
21:31:39.714 120 IE
21:31:39.904 121 IE
21:31:40.092 122 IE
21:31:40.278 123 IE
21:31:40.467 124 IE
21:31:40.653 125 IE
21:31:40.840 126 IE
21:31:41.029 127 IE
21:31:41.218 128 IE
21:31:41.408 129 IE
21:31:41.598 130 IE
21:31:41.786 131 IE
21:31:41.974 132 IE
21:31:42.163 133 IE
21:31:42.351 134 IE
21:31:42.540 135 IE
21:31:42.727 136 IE
21:31:42.916 137 IE
21:31:43.103 138 IE
21:31:43.292 139 IE
21:31:43.480 140 IE
21:31:43.667 141 IE
21:31:43.855 142 IE
21:31:44.045 143 IE
21:31:44.233 144 IE
21:31:44.422 145 IE
21:31:44.611 146 IE
21:31:44.800 147 IE
21:31:44.989 148 IE
21:31:45.178 149 IE
21:31:45.367 150 IE
21:31:45.555 151 IE
21:31:45.744 152 IE
21:31:45.931 153 IE
21:31:46.119 154 IE
21:31:46.308 155 IE
21:31:46.497 156 IE
21:31:46.685 157 IE
21:31:46.874 158 IE
21:31:47.062 159 IE
21:31:47.249 160 IE
21:31:47.438 161 IE
21:31:47.629 162 IE
21:31:47.816 163 IE
21:31:48.005 164 IE
21:31:48.195 165 IE
21:31:48.382 166 IE
21:31:48.572 167 IE
21:31:48.761 168 IE
21:31:48.950 169 IE
21:31:49.139 170 IE
21:31:49.328 171 IE
21:31:49.516 172 IE
21:31:49.704 173 IE
21:31:49.892 174 IE
21:31:50.079 175 IE
21:31:50.265 176 IE
21:31:50.453 177 IE
21:31:50.643 178 IE
21:31:50.833 179 IE
21:31:51.022 180 IE
21:31:51.211 181 IE
21:31:51.400 182 IE
21:31:51.589 183 IE
21:31:51.776 184 IE
21:31:51.965 185 IE
21:31:52.153 186 IE
21:31:52.341 187 IE
21:31:52.529 188 IE
21:31:52.718 189 IE
21:31:52.907 190 IE
21:31:53.096 191 IE
21:31:53.284 192 IE
21:31:53.472 193 IE
21:31:53.660 194 IE
21:31:53.846 195 IE
21:31:54.035 196 IE
21:31:54.224 197 IE
21:31:54.412 198 IE
21:31:54.599 199 IE
21:31:54.787 200 IE
21:31:54.974 201 IE
21:31:55.160 202 IE
21:31:55.349 203 IE
21:31:55.540 204 IE
21:31:55.730 205 IE
21:31:55.920 206 IE
21:31:56.109 207 IE
21:31:56.298 208 IE
21:31:56.487 209 IE
21:31:56.677 210 IE
21:31:56.867 211 IE
21:31:57.055 212 IE
21:31:57.242 213 IE
21:31:57.432 214 IE
21:31:57.621 215 IE
21:31:57.809 216 IE
21:31:57.997 217 IE
21:31:58.187 218 IE
21:31:58.375 219 IE
21:31:58.565 224 R 0
21:31:58.752 225 IE
21:31:58.942 226 IE
21:31:59.132 227 IE
21:31:59.321 228 IE
21:31:59.511 229 IE
21:31:59.700 230 IE
21:31:59.888 231 IE
21:32:00.077 232 IE
21:32:00.263 233 IE
21:32:00.452 234 IE
21:32:00.640 235 IE
21:32:00.828 236 IE
21:32:01.016 237 IE
21:32:01.204 238 IE
21:32:01.393 239 IE
21:32:01.582 240 IE
21:32:01.771 241 IE
21:32:01.959 242 IE
21:32:02.147 243 IE
21:32:02.335 244 IE
21:32:02.524 245 IE
21:32:02.711 246 IE
21:32:02.901 247 IE
21:32:03.090 248 IE
21:32:03.278 249 IE
21:32:03.467 250 IE
21:32:03.655 251 IE
21:32:03.843 252 IE
21:32:04.031 253 IE
21:32:04.220 254 IE
21:32:04.408 255 IE
21:32:04.596 256 IE
21:32:04.783 257 IE
21:32:04.970 258 IE
21:32:05.158 259 IE
21:32:05.347 260 IE
21:32:05.535 261 IE
21:32:05.723 262 IE
21:32:05.912 263 IE
21:32:06.101 264 IE
21:32:06.290 265 IE
21:32:06.479 266 IE
21:32:06.669 267 IE
21:32:06.856 268 IE
21:32:07.043 269 IE
21:32:07.233 270 IE
21:32:07.420 271 IE
21:32:07.609 272 IE
21:32:07.799 273 IE
21:32:07.987 274 IE
21:32:08.175 275 IE
21:32:08.362 276 IE
21:32:08.551 277 IE
21:32:08.738 278 IE
21:32:08.927 279 IE
21:32:09.115 280 IE
21:32:09.304 281 IE
21:32:09.493 282 IE
21:32:09.680 283 IE
21:32:09.869 284 IE
21:32:10.058 285 IE
21:32:10.246 286 IE
21:32:10.433 287 IE
