R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 4

21:18:44.717 0 IE
21:18:44.983 1 IE
21:18:45.235 2 IE
21:18:45.489 3 IE
21:18:45.743 4 IE
21:18:45.998 5 IE
21:18:46.250 6 IE
21:18:46.503 7 IE
21:18:46.754 8 IE
21:18:47.006 9 S0
21:18:47.262 10 IE
21:18:47.516 11 IE
21:18:47.767 12 R 0
21:18:48.020 13 IE
21:18:48.275 14 IE
21:18:48.528 15 IE
21:18:48.783 16 S0
21:18:49.037 17 SB
21:18:49.290 18 S2
21:18:49.543 19 SB
21:18:49.795 20 IE
21:18:50.047 21 IE
21:18:50.302 22 IE
21:18:50.556 23 IE
21:18:50.810 24 IE
21:18:51.062 25 IE
21:18:51.316 26 S0
21:18:51.566 27 IE
21:18:51.820 28 S2
21:18:52.073 29 SB
21:18:52.328 30 S0
21:18:52.581 31 IE
21:18:52.837 32 IE
21:18:53.092 33 IE
21:18:53.346 34 IE
21:18:53.601 35 IE
21:18:53.855 36 R 0
21:18:54.109 37 IE
21:18:54.361 38 IE
21:18:54.616 39 IE
21:18:54.870 40 S2
21:18:55.124 41 IE
21:18:55.378 42 IE
21:18:55.631 43 IE
21:18:55.886 44 S0
21:18:56.140 45 IE
21:18:56.396 46 S0
21:18:56.650 47 IE
21:18:56.903 48 IE
21:18:57.157 49 IE
21:18:57.412 50 IE
21:18:57.666 51 IE
21:18:57.918 52 IE
21:18:58.173 53 S0
21:18:58.424 54 IE
21:18:58.679 55 S2
21:18:58.934 56 R 0
21:18:59.188 57 IE
21:18:59.443 58 S2
21:18:59.693 59 IE
21:18:59.948 60 IE
21:19:00.203 61 IE
21:19:00.458 62 IE
21:19:00.709 63 IE
21:19:00.964 64 S0
21:19:01.219 65 IE
21:19:01.472 66 IE
21:19:01.727 67 S0
21:19:01.979 68 IE
21:19:02.234 69 S2
21:19:02.488 70 IE
21:19:02.741 71 IE
21:19:02.996 72 R 0
21:19:03.250 73 IE
21:19:03.500 74 IE
21:19:03.754 75 SB
21:19:04.007 76 IE
21:19:04.261 77 IE
21:19:04.513 78 IE
21:19:04.767 79 S0
21:19:05.020 80 IE
21:19:05.274 81 IE
21:19:05.529 82 IE
21:19:05.779 83 IE
21:19:06.034 84 SB
21:19:06.287 85 IE
21:19:06.538 86 IE
21:19:06.792 87 IE
21:19:07.046 88 IE
21:19:07.300 89 IE
21:19:07.551 90 IE
21:19:07.802 91 IE
21:19:08.057 92 IE
21:19:08.312 93 IE
21:19:08.566 94 IE
21:19:08.820 95 IE
21:19:09.075 96 IE
21:19:09.330 97 S0
21:19:09.585 98 IE
21:19:09.838 99 IE
21:19:10.092 100 IE
21:19:10.345 101 IE
21:19:10.598 102 SB
21:19:10.852 103 SB
21:19:11.105 104 IE
21:19:11.356 105 IE
21:19:11.611 106 IE
21:19:11.865 107 IE
21:19:12.118 108 IE
21:19:12.371 109 S2
21:19:12.623 110 IE
21:19:12.876 111 IE
21:19:13.126 112 IE
21:19:13.381 113 IE
21:19:13.636 114 S0
21:19:13.891 115 SB
21:19:14.142 116 IE
21:19:14.395 117 SB
21:19:14.647 118 R 0
21:19:14.902 119 S2
21:19:15.156 120 SB
21:19:15.408 121 IE
21:19:15.663 122 IE
21:19:15.916 123 IE
21:19:16.169 124 IE
21:19:16.424 125 IE
21:19:16.678 126 IE
21:19:16.930 127 S0
21:19:17.184 128 IE
21:19:17.436 129 IE
21:19:17.690 130 S2
21:19:17.945 131 IE
21:19:18.197 132 R 0
21:19:18.453 133 S0
21:19:18.707 134 IE
21:19:18.962 135 IE
21:19:19.214 136 IE
21:19:19.465 137 IE
21:19:19.720 138 IE
21:19:19.974 139 S2
21:19:20.225 140 SB
21:19:20.476 141 S2
21:19:20.729 142 IE
21:19:20.981 143 SB
21:19:21.236 144 IE
21:19:21.488 145 S0
21:19:21.738 146 IE
21:19:21.992 147 IE
21:19:22.246 148 IE
21:19:22.499 149 IE
21:19:22.752 150 R 0
21:19:23.005 151 S2
21:19:23.260 152 SB
21:19:23.513 153 S2
21:19:23.766 154 IE
21:19:24.021 155 IE
21:19:24.275 156 IE
21:19:24.529 157 IE
21:19:24.780 158 IE
21:19:25.032 159 SB
21:19:25.286 160 IE
21:19:25.539 161 SB
21:19:25.789 162 IE
21:19:26.042 163 IE
21:19:26.295 164 IE
21:19:26.546 165 IE
21:19:26.798 166 IE
21:19:27.052 167 IE
21:19:27.305 168 IE
21:19:27.559 169 IE
21:19:27.812 170 IE
21:19:28.067 171 R 0
21:19:28.320 172 S0
21:19:28.574 173 IE
21:19:28.827 174 S0
21:19:29.081 175 IE
21:19:29.336 176 IE
21:19:29.590 177 IE
21:19:29.844 178 IE
21:19:30.098 179 IE
21:19:30.351 180 IE
21:19:30.605 181 IE
21:19:30.856 182 S2
21:19:31.109 183 R 0
21:19:31.363 184 IE
21:19:31.613 185 SB
21:19:31.867 186 S2
21:19:32.120 187 IE
21:19:32.371 188 SB
21:19:32.625 189 IE
21:19:32.878 190 SB
21:19:33.133 191 IE
21:19:33.387 192 IE
21:19:33.641 193 S2
21:19:33.896 194 SB
21:19:34.149 195 IE
21:19:34.401 196 IE
21:19:34.652 197 IE
21:19:34.902 198 IE
21:19:35.157 199 SB
21:19:35.412 200 IE
21:19:35.666 201 IE
21:19:35.916 202 IE
21:19:36.171 203 IE
21:19:36.427 204 IE
21:19:36.681 205 IE
21:19:36.935 206 IE
21:19:37.188 207 R 0
21:19:37.443 208 IE
21:19:37.699 209 IE
21:19:37.953 210 IE
21:19:38.207 211 IE
21:19:38.461 212 IE
21:19:38.712 213 SB
21:19:38.963 214 SB
21:19:39.218 215 IE
21:19:39.473 216 IE
21:19:39.725 217 IE
21:19:39.981 218 IE
21:19:40.231 219 IE
21:19:40.486 220 IE
21:19:40.738 221 IE
21:19:40.991 222 IE
21:19:41.245 223 IE
21:19:41.497 224 S0
21:19:41.751 225 IE
21:19:42.006 226 IE
21:19:42.258 227 IE
21:19:42.512 228 IE
21:19:42.764 229 IE
21:19:43.016 230 IE
21:19:43.269 231 IE
21:19:43.522 232 IE
21:19:43.778 233 R 0
21:19:44.030 234 S0
21:19:44.284 235 IE
21:19:44.536 236 IE
21:19:44.792 237 IE
21:19:45.045 238 SB
21:19:45.298 239 IE
21:19:45.552 240 S0
21:19:45.808 241 IE
21:19:46.061 242 IE
21:19:46.312 243 IE
21:19:46.570 244 IE
21:19:46.822 245 IE
21:19:47.073 246 IE
21:19:47.324 247 IE
21:19:47.576 248 S0
21:19:47.830 249 IE
21:19:48.084 250 IE
21:19:48.336 251 IE
21:19:48.589 252 IE
21:19:48.845 253 IE
21:19:49.095 254 IE
21:19:49.347 255 SB
21:19:49.599 256 IE
21:19:49.853 257 S2
21:19:50.105 258 IE
21:19:50.356 259 S2
21:19:50.610 260 IE
21:19:50.864 261 IE
