R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 5.4

21:40:03.430 0 IE
21:40:03.625 1 IE
21:40:03.815 2 IE
21:40:04.003 3 IE
21:40:04.188 4 IE
21:40:04.378 5 IE
21:40:04.567 6 IE
21:40:04.757 7 IE
21:40:04.946 8 IE
21:40:05.134 9 IE
21:40:05.320 10 IE
21:40:05.507 11 IE
21:40:05.695 12 IE
21:40:05.881 13 IE
21:40:06.070 14 IE
21:40:06.259 15 IE
21:40:06.447 16 IE
21:40:06.633 17 IE
21:40:06.821 18 IE
21:40:07.008 19 IE
21:40:07.197 20 IE
21:40:07.386 21 IE
21:40:07.576 22 IE
21:40:07.765 23 IE
21:40:07.952 24 IE
21:40:08.142 25 IE
21:40:08.330 26 IE
21:40:08.520 27 IE
21:40:08.710 28 IE
21:40:08.897 29 IE
21:40:09.087 30 IE
21:40:09.277 31 IE
21:40:09.464 32 IE
21:40:09.652 33 IE
21:40:09.842 34 IE
21:40:10.031 35 IE
21:40:10.220 36 IE
21:40:10.410 37 IE
21:40:10.598 38 IE
21:40:10.787 39 IE
21:40:10.974 40 IE
21:40:11.163 41 IE
21:40:11.351 42 IE
21:40:11.538 43 IE
21:40:11.723 44 IE
21:40:11.913 45 IE
21:40:12.101 46 IE
21:40:12.287 47 IE
21:40:12.474 48 IE
21:40:12.663 49 IE
21:40:12.853 50 IE
21:40:13.040 51 IE
21:40:13.229 52 IE
21:40:13.418 53 IE
21:40:13.605 54 IE
21:40:13.794 55 IE
21:40:13.981 56 IE
21:40:14.170 57 IE
21:40:14.356 58 IE
21:40:14.542 59 IE
21:40:14.731 60 IE
21:40:14.918 61 IE
21:40:15.108 62 IE
21:40:15.294 63 IE
21:40:15.483 64 IE
21:40:15.672 65 IE
21:40:15.860 66 IE
21:40:16.049 67 IE
21:40:16.238 68 IE
21:40:16.427 69 IE
21:40:16.615 70 IE
21:40:16.803 71 IE
21:40:16.992 72 IE
21:40:17.180 73 IE
21:40:17.369 74 IE
21:40:17.558 75 IE
21:40:17.747 76 IE
21:40:17.936 77 IE
21:40:18.125 78 IE
21:40:18.314 79 IE
21:40:18.501 80 IE
21:40:18.692 81 IE
21:40:18.880 82 IE
21:40:19.068 83 IE
21:40:19.253 84 IE
21:40:19.443 85 IE
21:40:19.632 86 IE
21:40:19.821 87 IE
21:40:20.009 88 IE
21:40:20.199 89 IE
21:40:20.389 90 IE
21:40:20.575 91 IE
21:40:20.764 92 IE
21:40:20.953 93 IE
21:40:21.142 94 IE
21:40:21.330 95 IE
21:40:21.519 96 IE
21:40:21.708 97 IE
21:40:21.895 98 IE
21:40:22.084 99 IE
21:40:22.270 100 IE
21:40:22.460 101 IE
21:40:22.649 102 IE
21:40:22.839 103 IE
21:40:23.027 104 IE
21:40:23.215 105 IE
21:40:23.404 106 IE
21:40:23.593 107 IE
21:40:23.782 108 IE
21:40:23.971 109 IE
21:40:24.158 110 IE
21:40:24.346 111 IE
21:40:24.536 112 IE
21:40:24.726 113 IE
21:40:24.913 114 IE
21:40:25.103 115 IE
21:40:25.292 116 IE
21:40:25.480 117 IE
21:40:25.670 118 IE
21:40:25.858 119 IE
21:40:26.047 120 IE
21:40:26.236 121 IE
21:40:26.421 122 IE
21:40:26.611 123 IE
21:40:26.800 124 IE
21:40:26.987 125 IE
21:40:27.175 126 IE
21:40:27.365 127 IE
21:40:27.552 128 IE
21:40:27.742 129 IE
21:40:27.930 130 IE
21:40:28.119 131 IE
21:40:28.307 132 IE
21:40:28.496 133 IE
21:40:28.684 134 IE
21:40:28.873 135 IE
21:40:29.060 136 IE
21:40:29.248 137 IE
21:40:29.437 138 IE
21:40:29.626 139 IE
21:40:29.815 140 IE
21:40:30.003 141 IE
21:40:30.191 142 IE
21:40:30.379 143 IE
21:40:30.568 144 IE
21:40:30.757 145 IE
21:40:30.946 146 IE
21:40:31.134 147 IE
21:40:31.323 148 IE
21:40:31.512 149 IE
21:40:31.701 150 IE
21:40:31.891 151 R 0
21:40:32.079 152 IE
21:40:32.268 153 IE
21:40:32.454 154 IE
21:40:32.643 155 IE
21:40:32.832 156 IE
21:40:33.018 157 IE
21:40:33.208 158 IE
21:40:33.396 159 IE
21:40:33.585 160 IE
21:40:33.775 161 IE
21:40:33.964 162 IE
21:40:34.152 163 IE
21:40:34.338 164 IE
21:40:34.524 165 IE
21:40:34.713 166 IE
21:40:34.899 167 IE
21:40:35.084 168 IE
21:40:35.274 169 IE
21:40:35.462 170 IE
21:40:35.649 171 IE
21:40:35.837 172 IE
21:40:36.025 173 IE
21:40:36.214 174 IE
21:40:36.402 175 IE
21:40:36.591 176 IE
21:40:36.779 177 IE
21:40:36.969 178 IE
21:40:37.158 179 IE
21:40:37.348 180 IE
21:40:37.537 181 IE
21:40:37.726 182 IE
21:40:37.914 183 IE
21:40:38.100 184 IE
21:40:38.288 185 IE
21:40:38.476 186 IE
21:40:38.666 187 IE
21:40:38.853 188 IE
21:40:39.041 189 IE
21:40:39.230 190 IE
21:40:39.417 191 IE
21:40:39.604 192 IE
21:40:39.792 193 IE
21:40:39.980 194 IE
21:40:40.166 195 IE
21:40:40.354 196 IE
21:40:40.543 197 IE
21:40:40.733 198 IE
21:40:40.923 199 IE
21:40:41.111 200 IE
21:40:41.299 201 IE
21:40:41.489 202 IE
21:40:41.677 203 IE
21:40:41.870 204 IE
21:40:42.059 205 IE
21:40:42.247 206 IE
21:40:42.434 207 IE
21:40:42.624 208 IE
21:40:42.812 209 IE
21:40:42.999 210 IE
21:40:43.186 211 IE
21:40:43.374 212 IE
21:40:43.564 213 IE
21:40:43.754 214 IE
21:40:43.943 215 IE
21:40:44.133 216 IE
21:40:44.322 217 IE
21:40:44.511 218 IE
21:40:44.697 219 IE
21:40:44.885 220 IE
21:40:45.074 221 IE
21:40:45.263 222 IE
21:40:45.451 223 IE
21:40:45.640 224 IE
21:40:45.829 225 IE
21:40:46.018 226 IE
21:40:46.207 227 IE
21:40:46.397 228 IE
21:40:46.586 229 IE
21:40:46.776 230 IE
21:40:46.966 231 IE
21:40:47.156 232 IE
21:40:47.341 233 IE
21:40:47.530 234 IE
21:40:47.719 235 IE
21:40:47.907 236 IE
21:40:48.096 237 IE
21:40:48.284 238 IE
21:40:48.474 239 IE
21:40:48.661 240 IE
21:40:48.850 241 IE
21:40:49.037 242 IE
21:40:49.226 243 IE
21:40:49.415 244 IE
21:40:49.604 245 IE
21:40:49.794 246 IE
21:40:49.983 247 IE
21:40:50.171 248 IE
21:40:50.360 249 IE
21:40:50.549 250 IE
21:40:50.737 251 IE
21:40:50.925 252 IE
21:40:51.115 253 IE
21:40:51.304 254 IE
21:40:51.494 255 IE
21:40:51.684 256 IE
21:40:51.870 257 IE
21:40:52.057 258 IE
21:40:52.243 259 IE
21:40:52.432 260 IE
21:40:52.622 261 IE
21:40:52.810 262 IE
21:40:52.999 263 IE
21:40:53.186 264 IE
21:40:53.374 265 IE
21:40:53.562 266 IE
21:40:53.750 267 IE
21:40:53.940 268 IE
21:40:54.130 269 IE
21:40:54.320 270 IE
21:40:54.509 271 IE
21:40:54.698 272 IE
21:40:54.887 273 IE
21:40:55.075 274 IE
21:40:55.265 275 IE
21:40:55.454 276 IE
21:40:55.642 277 IE
21:40:55.830 278 IE
21:40:56.019 279 IE
21:40:56.209 280 IE
21:40:56.395 281 IE
21:40:56.582 282 IE
21:40:56.770 283 IE
