R [n]: received message, n remaining messages in queue
S[id]: sent a message to machine with specified id
SB: sent a message to both other machines
IE: internal event

clock speed (ticks per second): 6

21:20:45.361 0 IE
21:20:45.539 1 IE
21:20:45.706 2 IE
21:20:45.876 3 IE
21:20:46.047 4 S2
21:20:46.217 5 IE
21:20:46.388 6 IE
21:20:46.557 7 IE
21:20:46.728 8 R 0
21:20:46.897 9 IE
21:20:47.068 10 IE
21:20:47.238 11 IE
21:20:47.409 12 IE
21:20:47.578 13 IE
21:20:47.747 14 IE
21:20:47.917 15 S2
21:20:48.087 16 S2
21:20:48.258 17 IE
21:20:48.426 18 IE
21:20:48.597 19 IE
21:20:48.767 20 S2
21:20:48.937 21 IE
21:20:49.106 22 IE
21:20:49.275 23 IE
21:20:49.442 24 S2
21:20:49.612 25 IE
21:20:49.782 26 IE
21:20:49.951 27 IE
21:20:50.121 28 IE
21:20:50.291 29 IE
21:20:50.460 30 R 0
21:20:50.630 31 IE
21:20:50.799 32 IE
21:20:50.968 33 SB
21:20:51.138 34 IE
21:20:51.308 35 S0
21:20:51.479 36 S2
21:20:51.647 37 IE
21:20:51.818 38 SB
21:20:51.987 39 S2
21:20:52.156 40 IE
21:20:52.326 41 IE
21:20:52.495 42 IE
21:20:52.664 43 R 0
21:20:52.832 44 S2
21:20:53.004 45 S2
21:20:53.174 46 IE
21:20:53.344 47 IE
21:20:53.515 48 IE
21:20:53.683 49 IE
21:20:53.852 50 IE
21:20:54.022 51 IE
21:20:54.191 52 IE
21:20:54.362 53 R 0
21:20:54.532 54 S0
21:20:54.701 55 SB
21:20:54.873 56 IE
21:20:55.042 57 S2
21:20:55.211 58 IE
21:20:55.381 59 IE
21:20:55.550 60 IE
21:20:55.720 61 IE
21:20:55.888 62 R 0
21:20:56.057 63 IE
21:20:56.226 64 IE
21:20:56.394 65 S0
21:20:56.562 66 S2
21:20:56.732 67 IE
21:20:56.900 68 IE
21:20:57.071 69 SB
21:20:57.241 70 IE
21:20:57.410 71 IE
21:20:57.580 72 IE
21:20:57.750 73 S0
21:20:57.918 74 IE
21:20:58.086 75 IE
21:20:58.253 76 IE
21:20:58.423 77 IE
21:20:58.594 78 R 0
21:20:58.765 79 IE
21:20:58.933 80 R 0
21:20:59.102 81 S2
21:20:59.272 82 IE
21:20:59.439 83 IE
21:20:59.610 84 IE
21:20:59.781 85 IE
21:20:59.951 86 IE
21:21:00.120 87 R 0
21:21:00.292 88 SB
21:21:00.463 89 SB
21:21:00.633 90 IE
21:21:00.804 91 S2
21:21:00.973 92 S0
21:21:01.142 93 IE
21:21:01.313 94 SB
21:21:01.482 95 SB
21:21:01.651 96 IE
21:21:01.822 97 IE
21:21:01.989 98 SB
21:21:02.159 99 IE
21:21:02.329 100 IE
21:21:02.499 101 R 0
21:21:02.668 102 IE
21:21:02.838 103 IE
21:21:03.008 104 IE
21:21:03.177 105 S0
21:21:03.347 106 IE
21:21:03.517 107 S2
21:21:03.687 108 IE
21:21:03.857 109 IE
21:21:04.028 110 IE
21:21:04.198 111 IE
21:21:04.368 112 R 0
21:21:04.538 113 IE
21:21:04.708 114 IE
21:21:04.875 115 IE
21:21:05.043 116 R 0
21:21:05.210 117 IE
21:21:05.381 118 S2
21:21:05.549 119 IE
21:21:05.718 120 IE
21:21:05.888 121 S2
21:21:06.058 122 IE
21:21:06.228 123 IE
21:21:06.398 124 S2
21:21:06.568 125 SB
21:21:06.736 126 IE
21:21:06.905 127 SB
21:21:07.075 128 S0
21:21:07.245 129 IE
21:21:07.414 130 IE
21:21:07.582 131 IE
21:21:07.751 132 IE
21:21:07.921 133 S0
21:21:08.092 134 IE
21:21:08.262 135 SB
21:21:08.432 136 S0
21:21:08.602 137 IE
21:21:08.771 138 IE
21:21:08.940 139 IE
21:21:09.109 140 IE
21:21:09.277 141 R 0
21:21:09.447 142 R 0
21:21:09.617 143 R 0
21:21:09.786 144 IE
21:21:09.954 145 S2
21:21:10.124 146 IE
21:21:10.293 147 S0
21:21:10.464 148 IE
21:21:10.634 149 IE
21:21:10.805 150 IE
21:21:10.974 151 IE
21:21:11.141 152 IE
21:21:11.311 153 R 1
21:21:11.480 154 R 0
21:21:11.650 155 IE
21:21:11.821 156 IE
21:21:11.987 157 IE
21:21:12.156 158 IE
21:21:12.327 159 IE
21:21:12.496 160 R 0
21:21:12.665 161 IE
21:21:12.836 162 IE
21:21:13.007 163 IE
21:21:13.177 164 IE
21:21:13.346 165 IE
21:21:13.515 166 IE
21:21:13.685 167 IE
21:21:13.853 168 IE
21:21:14.023 169 SB
21:21:14.193 170 S0
21:21:14.361 171 IE
21:21:14.528 172 IE
21:21:14.697 173 IE
21:21:14.868 174 IE
21:21:15.037 175 R 0
21:21:15.208 176 IE
21:21:15.377 177 IE
21:21:15.547 178 IE
21:21:15.718 179 IE
21:21:15.889 180 SB
21:21:16.058 181 IE
21:21:16.228 182 IE
21:21:16.397 183 R 0
21:21:16.566 184 S2
21:21:16.735 185 R 0
21:21:16.906 186 S0
21:21:17.076 187 SB
21:21:17.245 188 IE
21:21:17.416 189 IE
21:21:17.587 190 IE
21:21:17.756 191 R 0
21:21:17.927 192 IE
21:21:18.096 193 IE
21:21:18.267 194 S2
21:21:18.437 195 IE
21:21:18.607 196 R 0
21:21:18.777 197 IE
21:21:18.947 198 S0
21:21:19.115 199 IE
21:21:19.282 200 IE
21:21:19.454 201 R 0
21:21:19.623 202 S2
21:21:19.792 203 IE
21:21:19.964 204 IE
21:21:20.135 205 IE
21:21:20.305 206 IE
21:21:20.475 207 IE
21:21:20.645 208 IE
21:21:20.812 209 IE
21:21:20.982 210 IE
21:21:21.151 211 R 0
21:21:21.320 212 S2
21:21:21.488 213 IE
21:21:21.658 214 SB
21:21:21.827 215 IE
21:21:21.997 216 IE
21:21:22.166 217 IE
21:21:22.334 218 IE
21:21:22.504 219 IE
21:21:22.674 220 IE
21:21:22.844 221 IE
21:21:23.014 222 SB
21:21:23.184 223 IE
21:21:23.354 224 IE
21:21:23.522 225 IE
21:21:23.690 226 IE
21:21:23.858 227 S2
21:21:24.028 228 IE
21:21:24.199 229 IE
21:21:24.370 230 SB
21:21:24.540 231 IE
21:21:24.710 232 IE
21:21:24.878 233 S2
21:21:25.049 234 IE
21:21:25.218 235 IE
21:21:25.385 236 IE
21:21:25.556 237 IE
21:21:25.726 238 S2
21:21:25.894 239 R 0
21:21:26.060 240 IE
21:21:26.230 241 IE
21:21:26.397 242 R 0
21:21:26.564 243 IE
21:21:26.733 244 IE
21:21:26.902 245 S2
21:21:27.072 246 R 0
21:21:27.241 247 S2
21:21:27.410 248 R 0
21:21:27.581 249 S2
21:21:27.749 250 IE
21:21:27.919 251 IE
21:21:28.089 252 IE
21:21:28.259 253 IE
21:21:28.429 254 IE
21:21:28.598 255 IE
21:21:28.767 256 S0
21:21:28.937 257 IE
21:21:29.108 258 IE
21:21:29.278 259 R 0
21:21:29.448 260 IE
21:21:29.619 261 IE
21:21:29.789 262 R 0
21:21:29.959 263 R 0
21:21:30.126 264 R 0
21:21:30.294 265 IE
21:21:30.466 266 S0
21:21:30.636 267 S0
21:21:30.805 268 IE
21:21:30.974 269 R 0
21:21:31.143 270 IE
21:21:31.312 271 IE
21:21:31.482 272 IE
21:21:31.653 273 IE
21:21:31.822 274 IE
21:21:31.992 275 SB
21:21:32.161 276 R 0
21:21:32.331 277 SB
21:21:32.500 278 IE
21:21:32.671 279 IE
21:21:32.841 280 SB
21:21:33.011 281 IE
21:21:33.179 282 IE
21:21:33.349 283 IE
21:21:33.520 284 IE
21:21:33.690 285 IE
21:21:33.860 286 IE
21:21:34.030 287 R 0
21:21:34.199 288 R 0
21:21:34.368 289 IE
21:21:34.539 290 R 0
21:21:34.708 291 IE
21:21:34.877 292 S2
21:21:35.045 293 S2
21:21:35.216 294 SB
21:21:35.385 295 IE
21:21:35.556 296 R 0
21:21:35.726 297 S2
21:21:35.896 298 S2
21:21:36.066 299 IE
21:21:36.236 300 IE
21:21:36.406 301 S0
21:21:36.576 302 IE
21:21:36.747 303 IE
21:21:36.915 304 IE
21:21:37.083 305 R 0
21:21:37.252 306 IE
21:21:37.422 307 IE
21:21:37.593 308 IE
21:21:37.759 309 IE
21:21:37.928 310 S0
21:21:38.099 311 IE
21:21:38.269 312 IE
21:21:38.438 313 S2
21:21:38.606 314 IE
21:21:38.775 315 R 0
21:21:38.945 316 S2
21:21:39.114 317 IE
21:21:39.283 318 S0
21:21:39.452 319 IE
21:21:39.621 320 S2
21:21:39.789 321 S2
21:21:39.957 322 IE
21:21:40.128 323 IE
21:21:40.299 324 IE
21:21:40.469 325 IE
21:21:40.638 326 IE
21:21:40.807 327 IE
21:21:40.976 328 IE
21:21:41.146 329 R 0
21:21:41.317 330 R 0
21:21:41.487 331 S0
21:21:41.655 332 IE
21:21:41.823 333 IE
21:21:41.994 334 R 0
21:21:42.162 335 S2
21:21:42.331 336 SB
21:21:42.502 337 IE
21:21:42.671 338 IE
21:21:42.839 339 R 0
21:21:43.008 340 SB
21:21:43.177 341 IE
21:21:43.347 342 IE
21:21:43.515 343 SB
21:21:43.684 344 IE
21:21:43.851 345 SB
21:21:44.022 346 R 0
21:21:44.191 347 IE
21:21:44.361 348 IE
21:21:44.530 349 SB
21:21:44.700 350 S2
21:21:44.869 351 IE
21:21:45.036 352 S2
21:21:45.206 353 IE
21:21:45.376 354 IE
21:21:45.545 355 IE
21:21:45.713 356 IE
21:21:45.883 357 R 0
